City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
225,Mocajuba,BR,82.17,overcast clouds,-2.5842,-49.5072,Hotel Saylon
226,Kieta,PG,78.53,light rain,-6.2167,155.6333,Uruna Bay Retreat
228,Santa Isabel Do Rio Negro,BR,85.73,light rain,-0.4139,-65.0192,Hotel GSA
230,Faanui,PF,81.54,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
234,Sola,VU,77.74,overcast clouds,-13.8833,167.55,Leumerus Bungalows
250,Polignano A Mare,IT,76.71,scattered clouds,40.9959,17.2159,Grotta Palazzese
253,Padang,ID,77.81,overcast clouds,-0.9492,100.3543,Mercure Padang
256,Saint Anthony,US,86.32,few clouds,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
258,Mogadishu,SO,79.0,light rain,2.0371,45.3438,Hotel Juba
259,Malakal,SS,82.4,overcast clouds,9.5334,31.6605,Nile Palace Hotel
263,Port Blair,IN,83.34,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
268,Hithadhoo,MV,84.34,overcast clouds,-0.6,73.0833,Scoop Guest House
269,Cayenne,GF,77.04,very heavy rain,4.9333,-52.3333,Hôtel Le Dronmi
273,San Jose,US,85.77,scattered clouds,37.3394,-121.895,The Westin San Jose
281,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
283,Bonthe,SL,81.91,broken clouds,7.5264,-12.505,Bonthe Holiday Village
284,Okitipupa,NG,77.97,scattered clouds,6.5047,4.7839,Coastal Hotel & Suites
286,Caborca,MX,87.49,clear sky,30.5838,-111.101,Hotel Los Lagos
292,Indramayu,ID,78.08,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
293,Mana,GF,75.7,light rain,5.6592,-53.7767,LE SAMANA
294,Port-Gentil,GA,82.36,moderate rain,-0.7193,8.7815,Fengshui Residence
299,Sarangani,PH,82.98,overcast clouds,5.4033,125.4636,Ballistic Islet
300,Mankato,US,86.79,clear sky,44.1636,-93.9994,Hilton Garden Inn Mankato Downtown
302,Savannah Bight,HN,86.05,few clouds,16.45,-85.85,Villa on Dunbar Rock
308,Manicore,BR,82.96,overcast clouds,-5.8092,-61.3003,Hotel Durval
309,Mahibadhoo,MV,83.7,broken clouds,3.7833,72.9667,Omadhoo Inn
314,Puri,IN,83.37,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
316,Tagusao,PH,79.77,broken clouds,9.1924,117.8141,Toledo
317,Dodge City,US,78.24,few clouds,37.7528,-100.0171,Windsor Inn & Suites
324,Eyl,SO,83.46,broken clouds,7.9803,49.8164,Amiin Hotel
325,Bloomington,US,86.7,few clouds,44.8408,-93.2983,Comfort Inn MSP Airport - Mall Of America
330,Hobyo,SO,79.92,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
336,Narasannapeta,IN,84.4,light rain,18.4167,84.05,G.lingaraju home
337,Champerico,GT,89.76,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
338,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
339,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
343,Auki,SB,77.68,overcast clouds,-8.7676,160.7034,Auki Motel
344,Trairi,BR,80.29,overcast clouds,-3.2778,-39.2689,janelas do mar
349,Dunmore Town,BS,75.63,clear sky,25.5,-76.65,Coral Sands Hotel
350,Parambu,BR,81.88,overcast clouds,-6.2111,-40.6944,Hotel pousada santo onofre
354,Spring Valley,US,84.96,clear sky,36.108000000000004,-115.245,Westgate Flamingo Bay Resort
355,Robertsport,LR,83.21,light rain,6.7533,-11.3686,Kwepunha Retreat
360,Acarau,BR,81.52,broken clouds,-2.8856,-40.12,castelo pizzaria
370,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
373,Guerrero Negro,MX,75.18,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
377,Rio De Jesus,PA,77.16,overcast clouds,7.9844,-81.1631,Parador fotografico Rio de Jesus
379,Finschhafen,PG,79.39,moderate rain,-6.6024,147.8681,Cossam Guest House
383,Esmeraldas,BR,80.71,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
391,Caravelas,BR,77.41,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
392,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
394,Sedalia,US,83.57,clear sky,38.7045,-93.2283,Best Western State Fair Inn
395,Araceli,PH,83.37,clear sky,10.5529,119.9913,JBryan Traveler's Inn
397,Dossor,KZ,84.69,clear sky,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
401,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
410,Allada,BJ,78.85,few clouds,6.6655,2.1514,Royaume hotel d' Allada
414,Paciran,ID,77.81,few clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
420,Vilhena,BR,79.02,scattered clouds,-12.7406,-60.1458,Hotel Mirage
426,Mattru,SL,78.71,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
427,Atbasar,KZ,75.79,few clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
429,Bambanglipuro,ID,77.34,overcast clouds,-7.95,110.2833,Puri Brata
430,Oussouye,SN,77.52,scattered clouds,12.485,-16.5469,Auberge du Routard
431,Farias Brito,BR,88.48,overcast clouds,-6.9306,-39.5656,Pousada Boa Vista
434,Jensen Beach,US,86.09,clear sky,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
440,Nobres,BR,84.02,scattered clouds,-14.7203,-56.3275,Hotel Portal Nobres
446,Lapeer,US,82.53,overcast clouds,43.0514,-83.3188,"Holiday Inn Express Lapeer, an IHG Hotel"
452,Lazaro Cardenas,MX,87.31,clear sky,17.9583,-102.2,Hotel Quinta Antigua
