City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nushki,PK,29.5542,66.0215,83.34,13,22,6.31,few clouds
80,Fortuna,US,40.5982,-124.1573,78.48,67,20,3.0,few clouds
81,Butaritari,KI,3.0707,172.7902,76.42,95,100,19.8,very heavy rain
82,Grajau,BR,-5.8194,-46.1386,85.05,68,100,2.59,overcast clouds
83,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,90,5.75,overcast clouds
84,Geraldton,AU,-28.7667,114.6,54.01,63,40,9.06,scattered clouds
85,Tasiilaq,GL,65.6145,-37.6368,35.76,84,100,37.18,overcast clouds
86,Puerto Ayora,EC,-0.7393,-90.3518,76.55,86,52,8.99,broken clouds
87,Hofn,IS,64.2539,-15.2082,42.85,70,80,3.76,broken clouds
88,Torbay,CA,47.6666,-52.7314,37.27,71,90,14.97,overcast clouds
89,Barrow,US,71.2906,-156.7887,26.62,86,90,17.27,overcast clouds
90,Obo,CF,5.3998,26.4869,71.19,80,100,3.51,overcast clouds
91,Seymchan,RU,62.8833,152.4333,50.47,57,100,3.04,overcast clouds
92,Yellowknife,CA,62.456,-114.3525,42.33,38,1,3.0,clear sky
93,Baldone,LV,56.7428,24.3944,47.59,76,4,2.37,clear sky
94,Teahupoo,PF,-17.8333,-149.2667,78.76,79,89,12.41,overcast clouds
95,Golkoy,TR,40.6875,37.6178,53.01,93,99,1.05,overcast clouds
96,Tomigusuku,JP,26.185,127.675,77.14,88,20,3.44,few clouds
97,Husavik,IS,66.0449,-17.3389,44.51,70,92,11.14,overcast clouds
98,Cherskiy,RU,68.75,161.3,46.22,49,3,11.65,clear sky
99,Tyrma,RU,50.0833,132.1667,41.97,98,83,2.42,broken clouds
100,Ewa Beach,US,21.3156,-158.0072,83.01,65,40,4.0,scattered clouds
101,Mayya,RU,61.7333,130.2811,45.72,87,100,9.89,overcast clouds
102,Tecoanapa,MX,16.5167,-98.75,89.83,51,12,12.48,few clouds
103,Griffith,US,41.5284,-87.4237,91.09,42,40,1.99,scattered clouds
104,Vardo,NO,70.3705,31.1107,37.38,60,75,2.3,broken clouds
